filename,caption,color
images/img_0000.png,red circle,red
images/img_0001.png,red circle,red
images/img_0002.png,red circle,red
images/img_0003.png,red circle,red
images/img_0004.png,red circle,red
images/img_0005.png,red circle,red
images/img_0006.png,red circle,red
images/img_0007.png,red circle,red
images/img_0008.png,red circle,red
images/img_0009.png,red circle,red
images/img_0010.png,red circle,red
images/img_0011.png,red circle,red
images/img_0012.png,red circle,red
images/img_0013.png,red circle,red
images/img_0014.png,red circle,red
images/img_0015.png,red circle,red
images/img_0016.png,red circle,red
images/img_0017.png,red circle,red
images/img_0018.png,red circle,red
images/img_0019.png,red circle,red
images/img_0020.png,red square,red
images/img_0021.png,red square,red
images/img_0022.png,red square,red
images/img_0023.png,red square,red
images/img_0024.png,red square,red
images/img_0025.png,red square,red
images/img_0026.png,red square,red
images/img_0027.png,red square,red
images/img_0028.png,red square,red
images/img_0029.png,red square,red
images/img_0030.png,red square,red
images/img_0031.png,red square,red
images/img_0032.png,red square,red
images/img_0033.png,red square,red
images/img_0034.png,red square,red
images/img_0035.png,red square,red
images/img_0036.png,red square,red
images/img_0037.png,red square,red
images/img_0038.png,red square,red
images/img_0039.png,red square,red
images/img_0040.png,red triangle,red
images/img_0041.png,red triangle,red
images/img_0042.png,red triangle,red
images/img_0043.png,red triangle,red
images/img_0044.png,red triangle,red
images/img_0045.png,red triangle,red
images/img_0046.png,red triangle,red
images/img_0047.png,red triangle,red
images/img_0048.png,red triangle,red
images/img_0049.png,red triangle,red
images/img_0050.png,red triangle,red
images/img_0051.png,red triangle,red
images/img_0052.png,red triangle,red
images/img_0053.png,red triangle,red
images/img_0054.png,red triangle,red
images/img_0055.png,red triangle,red
images/img_0056.png,red triangle,red
images/img_0057.png,red triangle,red
images/img_0058.png,red triangle,red
images/img_0059.png,red triangle,red
images/img_0060.png,blue circle,blue
images/img_0061.png,blue circle,blue
images/img_0062.png,blue circle,blue
images/img_0063.png,blue circle,blue
images/img_0064.png,blue circle,blue
images/img_0065.png,blue circle,blue
images/img_0066.png,blue circle,blue
images/img_0067.png,blue circle,blue
images/img_0068.png,blue circle,blue
images/img_0069.png,blue circle,blue
images/img_0070.png,blue circle,blue
images/img_0071.png,blue circle,blue
images/img_0072.png,blue circle,blue
images/img_0073.png,blue circle,blue
images/img_0074.png,blue circle,blue
images/img_0075.png,blue circle,blue
images/img_0076.png,blue circle,blue
images/img_0077.png,blue circle,blue
images/img_0078.png,blue circle,blue
images/img_0079.png,blue circle,blue
images/img_0080.png,blue square,blue
images/img_0081.png,blue square,blue
images/img_0082.png,blue square,blue
images/img_0083.png,blue square,blue
images/img_0084.png,blue square,blue
images/img_0085.png,blue square,blue
images/img_0086.png,blue square,blue
images/img_0087.png,blue square,blue
images/img_0088.png,blue square,blue
images/img_0089.png,blue square,blue
images/img_0090.png,blue square,blue
images/img_0091.png,blue square,blue
images/img_0092.png,blue square,blue
images/img_0093.png,blue square,blue
images/img_0094.png,blue square,blue
images/img_0095.png,blue square,blue
images/img_0096.png,blue square,blue
images/img_0097.png,blue square,blue
images/img_0098.png,blue square,blue
images/img_0099.png,blue square,blue
images/img_0100.png,blue triangle,blue
images/img_0101.png,blue triangle,blue
images/img_0102.png,blue triangle,blue
images/img_0103.png,blue triangle,blue
images/img_0104.png,blue triangle,blue
images/img_0105.png,blue triangle,blue
images/img_0106.png,blue triangle,blue
images/img_0107.png,blue triangle,blue
images/img_0108.png,blue triangle,blue
images/img_0109.png,blue triangle,blue
images/img_0110.png,blue triangle,blue
images/img_0111.png,blue triangle,blue
images/img_0112.png,blue triangle,blue
images/img_0113.png,blue triangle,blue
images/img_0114.png,blue triangle,blue
images/img_0115.png,blue triangle,blue
images/img_0116.png,blue triangle,blue
images/img_0117.png,blue triangle,blue
images/img_0118.png,blue triangle,blue
images/img_0119.png,blue triangle,blue
images/img_0120.png,green circle,green
images/img_0121.png,green circle,green
images/img_0122.png,green circle,green
images/img_0123.png,green circle,green
images/img_0124.png,green circle,green
images/img_0125.png,green circle,green
images/img_0126.png,green circle,green
images/img_0127.png,green circle,green
images/img_0128.png,green circle,green
images/img_0129.png,green circle,green
images/img_0130.png,green circle,green
images/img_0131.png,green circle,green
images/img_0132.png,green circle,green
images/img_0133.png,green circle,green
images/img_0134.png,green circle,green
images/img_0135.png,green circle,green
images/img_0136.png,green circle,green
images/img_0137.png,green circle,green
images/img_0138.png,green circle,green
images/img_0139.png,green circle,green
images/img_0140.png,green square,green
images/img_0141.png,green square,green
images/img_0142.png,green square,green
images/img_0143.png,green square,green
images/img_0144.png,green square,green
images/img_0145.png,green square,green
images/img_0146.png,green square,green
images/img_0147.png,green square,green
images/img_0148.png,green square,green
images/img_0149.png,green square,green
images/img_0150.png,green square,green
images/img_0151.png,green square,green
images/img_0152.png,green square,green
images/img_0153.png,green square,green
images/img_0154.png,green square,green
images/img_0155.png,green square,green
images/img_0156.png,green square,green
images/img_0157.png,green square,green
images/img_0158.png,green square,green
images/img_0159.png,green square,green
images/img_0160.png,green triangle,green
images/img_0161.png,green triangle,green
images/img_0162.png,green triangle,green
images/img_0163.png,green triangle,green
images/img_0164.png,green triangle,green
images/img_0165.png,green triangle,green
images/img_0166.png,green triangle,green
images/img_0167.png,green triangle,green
images/img_0168.png,green triangle,green
images/img_0169.png,green triangle,green
images/img_0170.png,green triangle,green
images/img_0171.png,green triangle,green
images/img_0172.png,green triangle,green
images/img_0173.png,green triangle,green
images/img_0174.png,green triangle,green
images/img_0175.png,green triangle,green
images/img_0176.png,green triangle,green
images/img_0177.png,green triangle,green
images/img_0178.png,green triangle,green
images/img_0179.png,green triangle,green
images/img_0180.png,yellow circle,yellow
images/img_0181.png,yellow circle,yellow
images/img_0182.png,yellow circle,yellow
images/img_0183.png,yellow circle,yellow
images/img_0184.png,yellow circle,yellow
images/img_0185.png,yellow circle,yellow
images/img_0186.png,yellow circle,yellow
images/img_0187.png,yellow circle,yellow
images/img_0188.png,yellow circle,yellow
images/img_0189.png,yellow circle,yellow
images/img_0190.png,yellow circle,yellow
images/img_0191.png,yellow circle,yellow
images/img_0192.png,yellow circle,yellow
images/img_0193.png,yellow circle,yellow
images/img_0194.png,yellow circle,yellow
images/img_0195.png,yellow circle,yellow
images/img_0196.png,yellow circle,yellow
images/img_0197.png,yellow circle,yellow
images/img_0198.png,yellow circle,yellow
images/img_0199.png,yellow circle,yellow
images/img_0200.png,yellow square,yellow
images/img_0201.png,yellow square,yellow
images/img_0202.png,yellow square,yellow
images/img_0203.png,yellow square,yellow
images/img_0204.png,yellow square,yellow
images/img_0205.png,yellow square,yellow
images/img_0206.png,yellow square,yellow
images/img_0207.png,yellow square,yellow
images/img_0208.png,yellow square,yellow
images/img_0209.png,yellow square,yellow
images/img_0210.png,yellow square,yellow
images/img_0211.png,yellow square,yellow
images/img_0212.png,yellow square,yellow
images/img_0213.png,yellow square,yellow
images/img_0214.png,yellow square,yellow
images/img_0215.png,yellow square,yellow
images/img_0216.png,yellow square,yellow
images/img_0217.png,yellow square,yellow
images/img_0218.png,yellow square,yellow
images/img_0219.png,yellow square,yellow
images/img_0220.png,yellow triangle,yellow
images/img_0221.png,yellow triangle,yellow
images/img_0222.png,yellow triangle,yellow
images/img_0223.png,yellow triangle,yellow
images/img_0224.png,yellow triangle,yellow
images/img_0225.png,yellow triangle,yellow
images/img_0226.png,yellow triangle,yellow
images/img_0227.png,yellow triangle,yellow
images/img_0228.png,yellow triangle,yellow
images/img_0229.png,yellow triangle,yellow
images/img_0230.png,yellow triangle,yellow
images/img_0231.png,yellow triangle,yellow
images/img_0232.png,yellow triangle,yellow
images/img_0233.png,yellow triangle,yellow
images/img_0234.png,yellow triangle,yellow
images/img_0235.png,yellow triangle,yellow
images/img_0236.png,yellow triangle,yellow
images/img_0237.png,yellow triangle,yellow
images/img_0238.png,yellow triangle,yellow
images/img_0239.png,yellow triangle,yellow
